time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1932-05-14T13:11:04.000Z,0.493,125.805,15,7.7,mw,,,,,iscgem,iscgem906146,2020-07-10T11:18:01.095Z,"133 km SE of Tondano, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1932-05-26T16:09:48.000Z,-25.447,178.854,570,7.6,mw,,,,,iscgem,iscgem906166,2015-05-13T18:52:43.000Z,"south of the Fiji Islands",earthquake,,,,,automatic,iscgem,iscgem
1932-06-03T10:36:56.000Z,19.786,-103.784,15,8.1,mw,,,,,iscgem,iscgem906183,2020-07-10T11:18:34.849Z,"0 km NW of Jiquilpan, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1932-06-18T10:12:11.000Z,19.419,-103.907,15,7.8,mw,,,,,iscgem,iscgem906234,2020-07-10T11:19:10.087Z,"10 km NW of Zacualpan, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1932-06-22T12:59:31.000Z,19.373,-104.224,25,7.7,mw,,,,,iscgem,iscgem906247,2020-07-10T11:19:25.990Z,"8 km NE of Chacala, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1932-12-25T02:04:30.000Z,39.496,96.616,15,7.9,mw,,,,,iscgem,iscgem906530,2020-07-10T11:23:35.078Z,"102 km WSW of Laojunmiao, China",earthquake,,,,,automatic,iscgem,iscgem
1933-03-02T17:31:00.000Z,39.209,144.59,15,8.4,mw,,,,,official,official19330302173100_30,2020-07-10T14:29:42.363Z,"1933 Sanriku (Sanriku-oki) Earthquake, Japan",earthquake,,,,,automatic,iscgem,official
1933-06-24T21:54:49.000Z,-5.226,104.596,20,7.6,mw,,,,,iscgem,iscgem905657,2020-07-10T11:12:51.079Z,"54 km SW of Kotabumi, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1933-08-28T22:19:48.000Z,-60.041,-26.838,35,7.5,mw,,,,,iscgem,iscgem905786,2015-05-13T18:52:43.000Z,"South Sandwich Islands region",earthquake,,,,,automatic,iscgem,iscgem
1933-11-20T23:21:35.000Z,73.122,-70.014,15,7.7,mw,,,,,iscgem,iscgem905919,2015-05-13T18:52:43.000Z,"299 km N of Clyde River, Canada",earthquake,,,,,automatic,iscgem,iscgem
1934-01-15T08:43:25.000Z,26.885,86.589,15,8,mw,,,,,iscgem,iscgem904745,2020-07-10T10:56:09.571Z,"15 km NW of Triyuga, Nepal",earthquake,,,,,automatic,iscgem,iscgem
1934-02-14T03:59:39.000Z,17.463,119.199,15,7.5,mw,,,,,iscgem,iscgem904793,2020-07-10T10:58:29.419Z,"123 km W of Cabittaogan, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1934-02-24T06:23:48.000Z,23.064,143.971,35,7.5,mw,,,,,iscgem,iscgem904813,2015-05-13T18:52:43.000Z,"Volcano Islands, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1934-07-18T01:36:31.000Z,7.903,-82.492,30,7.5,mw,,,,,iscgem,iscgem905037,2020-07-10T11:03:10.237Z,"43 km ESE of Punta de Burica, Panama",earthquake,,,,,automatic,iscgem,iscgem
1934-07-18T19:40:19.000Z,-11.936,166.977,10,7.7,mw,,,,,iscgem,iscgem905046,2020-07-10T11:04:24.371Z,"185 km SE of Lata, Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
